,Mutual_Info_Score,ANOVA_Score,Chi2_Score,RF_Importance,RFE_Rank,RFE_Selected,Selection_Frequency
Days_Since_Last_Purchase,0.0446577079574928,997.7529719217545,,0.062009780766103306,1,True,4
tfidf_its,0.04297801413558866,1232.7426855806166,,0.05626479438198563,1,True,4
tfidf_not,0.040307803246263374,1506.5560108584925,,0.037249203607240614,1,True,4
tfidf_than,0.04765908507006933,2157.184999311184,,0.03806085154752587,1,True,4
tfidf_no,0.039713494435872576,1181.264023154719,,0.04594530954592629,1,True,4
tfidf_expected,0.036294894834490776,1751.5757747070818,,0.0239706790288404,1,True,4
tfidf_and,0.02787124285277698,666.911463846873,,0.03073184387829097,1,True,4
Resolution_Delay_Ratio,0.03416282260620673,680.0156059908714,,0.018995456320579227,1,True,4
tfidf_is,0.022507741823231564,523.7763690552582,,0.01777050085262643,1,True,3
tfidf_to,0.027006782501913795,552.026802446674,,0.015950318339686718,2,False,3
tfidf_on,0.0368690404648544,773.4918219200292,,0.01844385670844651,4,False,3
tfidf_of,0.04546921659458736,1279.0388690419472,,0.03688646511531051,4,False,3
Resolution_Time_Hours,0.04711754960624437,1385.9821925838583,,0.03381049229209765,5,False,3
tfidf_great,0.016964608831547823,503.39349786072137,,0.01941827099500058,1,True,3
Support_Efficiency_Score,0.06410807277902708,1219.4117808164845,,0.025216955414428192,3,False,3
Customer_Support_Contacts,0.029186140959210904,1019.2359097790552,,0.01587525216422619,1,True,3
Contacts_x_ResolutionTime,0.059518751377220847,1654.8725240067213,,0.041581201774752906,11,False,3
Stopword_Ratio,0.019498466379920698,205.69278725484617,,0.029185180516769996,1,True,2
tfidf_had,0.014778184496616165,569.3354987776114,,0.009748967498988364,1,True,2
Complaint_Severity,0.022996392691698595,,3.3361044877175496,0.0036540438258470696,10,False,2
tfidf_time,0.017715439022063295,628.9324198480024,,0.014774248218806019,1,True,2
tfidf_or,0.007648417748769898,329.73629484728764,,0.022385914461918534,1,True,2
tfidf_the,0.031142952142471758,50.479034960773745,,0.014832527584436699,1,True,2
Review_Readability,0.019822687305744546,45.20611605038765,,0.0190982486945934,1,True,2
Resolution_Category,0.039844118255610655,,600.9307122286746,0.011668001254917452,5,False,2
Complaint_Density,0.022598061275749703,510.16303608123997,,0.013968965569743167,14,False,2
tfidf_were,0.0004843930846629707,5.182298716723613,,0.007843108595039528,1,True,1
tfidf_this_purchase,0.007328803648601445,278.48496596949525,,0.008390364725713808,1,True,1
Country,9.221365664727893e-05,,1.394604139363365,0.004924085423977158,10,False,1
Product_Category,0.0006076763393468611,,1.2285771206466454,0.0073075137699253724,12,False,1
Gender,1.4561547057700963e-05,,0.0029176366023650965,0.0025536816704952395,12,False,1
Product_Name,0.003257225866108653,,1.0322933105619039,0.011167426717064954,11,False,1
tfidf_with,0.010741834438121156,149.93073270881567,,0.009754541123911569,1,True,1
tfidf_discount,0.004655748177799124,0.1916306370821068,,0.004363777305946465,1,True,1
tfidf_all,0.012852527132947378,160.1381210050925,,0.005969710863470633,1,True,1
