,Mean_Abs_SHAP
tfidf_not,0.5047896
Days_Since_Last_Purchase,0.5007734
tfidf_great,0.47103292
tfidf_its,0.43424723
tfidf_no,0.40413183
tfidf_and,0.3583078
tfidf_of,0.33391535
tfidf_on,0.3092159
Resolution_Time_Hours,0.2838483
tfidf_is,0.25523153
Customer_Support_Contacts,0.24232288
tfidf_than,0.23395535
tfidf_to,0.17827818
tfidf_expected,0.17082615
Contacts_x_ResolutionTime,0.13437994
Support_Efficiency_Score,0.09644571
Total_Spent,0.09452548
Age,0.059606347
Resolution_Delay_Ratio,0.048850853
Purchase_Count,0.027333278
Country_United Kingdom,0.018882668
Gender_Female,0.009778898
Country_USA,0.008869799
Country_Ireland,0.006730179
Gender_Unknown,0.0047737616
Country_Canada,0.0047366796
Gender_Male,0.0046804757
Country_Australia,0.0036952968
Country_Unknown,0.0006134339
